arm,eta,R_m,seed,C_realised,C_asymptotic,n_cells_total,mean_members,tour_len_m,T1_s,max_kappa_rho,solver,words,wall_s,schema_version,prov_id
bhh,0.0,60,1109,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1110,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1111,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1112,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1113,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1114,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1115,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1116,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1117,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1118,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1119,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1000,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1001,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1002,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1003,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1004,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1005,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1006,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1007,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1008,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1009,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1010,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1011,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1012,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1013,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1014,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1015,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1016,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1017,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1018,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1019,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1020,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1021,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1022,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1023,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
