config_id,regime,m_policy,r_family,r_idx,r_params,f_family,f_idx,f_params,R_cluster_m,C_clusters,T_miss_mult,k_star,m_at_kstar,T_at_kstar,at_lower,at_upper,interior,rel_depth,interior_meaningful,quasiconvex,n_violations,max_violation_rel,quasiconvex_even_k,k_star_even_k,theta_at_kstar,passes_at_kstar,T1_at_kstar,T2_at_kstar,r_at_kstar,f_at_kstar,N_at_kstar,T1_share_at_kstar,schema_version,prov_id
47,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",75.0,177.7778,30.0,8,8,10870.863173301046,0,0,1,1.2948016628406958,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,736.6710472523903,0.9212113832894265,0.16941543660232777,30.870095787100926,0.6162567354931504,1,1d478b3dd653a6b1
48,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",100.0,100.0,1.0,2,2,2556.2904210887264,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,648.9019748406545,0.4817170521577339,0.26006336992505447,26.227990674738127,0.5780993948230823,1,1d478b3dd653a6b1
49,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",100.0,100.0,3.0,3,3,4072.6418134000787,0,0,1,0.0037998102482689287,0,1,0,0.0,1,2,34.29462295175867,1.3717849180703467,2027.209959207869,617.5493664762762,0.6257993532402721,0.24213532410161678,24.597196439300333,0.49776289005770336,1,1d478b3dd653a6b1
50,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",100.0,100.0,10.0,5,5,7158.891039723716,0,0,1,0.3199684604090421,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,558.7560511299891,0.8030131531908138,0.2099017612125391,21.583287513232186,0.5306898434698315,1,1d478b3dd653a6b1
51,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",100.0,100.0,30.0,8,8,10635.23948467252,0,0,1,1.3288405497356075,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,480.8951277374031,0.9212113832894265,0.16941543660232777,17.693339606919878,0.6299099010253736,1,1d478b3dd653a6b1
52,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",125.0,64.0,1.0,2,2,2467.2109789077535,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,463.98130038671303,0.4817170521577339,0.26006336992505447,16.865709357436167,0.5989718585305824,1,1d478b3dd653a6b1
53,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",125.0,64.0,3.0,3,3,3963.8203236306854,0,0,1,0.008884689721820988,0,1,0,0.0,1,2,34.29462295175867,1.3717849180703467,2027.209959207869,443.65738463587286,0.6257993532402721,0.24213532410161678,15.88032477164213,0.5114283175557851,1,1d478b3dd653a6b1
54,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",125.0,64.0,10.0,5,5,7035.272879208458,0,0,1,0.33050005344105077,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,404.8131673502468,0.8030131531908138,0.2099017612125391,14.026824109580776,0.540014698863536,1,1d478b3dd653a6b1
55,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",125.0,64.0,30.0,8,8,10516.841258054174,0,0,1,1.346588383367847,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,352.37063404782896,0.9212113832894265,0.16941543660232777,11.594383889236076,0.6370014043941847,1,1d478b3dd653a6b1
56,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",150.0,44.4444,1.0,2,2,2415.407103390059,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,356.4412511282289,0.4817170521577339,0.26006336992505447,11.780025678901767,0.6118181665315694,1,1d478b3dd653a6b1
