series,k,m,theta_ops,theta_over_k,theta_over_k_lnk,schema_version,prov_id
m-of-k fixed m=3,36,3,18.1684,0.5047,0.1408,1,1d478b3dd653a6b1
m-of-k fixed m=3,37,3,18.1537,0.4906,0.1359,1,1d478b3dd653a6b1
m-of-k fixed m=3,38,3,18.1398,0.4774,0.1312,1,1d478b3dd653a6b1
m-of-k fixed m=3,39,3,18.1266,0.4648,0.1269,1,1d478b3dd653a6b1
m-of-k fixed m=3,40,3,18.1142,0.4529,0.1228,1,1d478b3dd653a6b1
m-of-k fixed m=5,5,5,64.2708,12.8542,7.9867,1,1d478b3dd653a6b1
m-of-k fixed m=5,6,5,46.5467,7.7578,4.3297,1,1d478b3dd653a6b1
m-of-k fixed m=5,7,5,40.2294,5.7471,2.9534,1,1d478b3dd653a6b1
m-of-k fixed m=5,8,5,36.9091,4.6136,2.2187,1,1d478b3dd653a6b1
m-of-k fixed m=5,9,5,34.8428,3.8714,1.7620,1,1d478b3dd653a6b1
m-of-k fixed m=5,10,5,33.4268,3.3427,1.4517,1,1d478b3dd653a6b1
m-of-k fixed m=5,11,5,32.3936,2.9449,1.2281,1,1d478b3dd653a6b1
m-of-k fixed m=5,12,5,31.6052,2.6338,1.0599,1,1d478b3dd653a6b1
m-of-k fixed m=5,13,5,30.9835,2.3833,0.9292,1,1d478b3dd653a6b1
m-of-k fixed m=5,14,5,30.4803,2.1772,0.8250,1,1d478b3dd653a6b1
m-of-k fixed m=5,15,5,30.0646,2.0043,0.7401,1,1d478b3dd653a6b1
m-of-k fixed m=5,16,5,29.7152,1.8572,0.6698,1,1d478b3dd653a6b1
m-of-k fixed m=5,17,5,29.4175,1.7304,0.6108,1,1d478b3dd653a6b1
m-of-k fixed m=5,18,5,29.1606,1.6200,0.5605,1,1d478b3dd653a6b1
m-of-k fixed m=5,19,5,28.9368,1.5230,0.5172,1,1d478b3dd653a6b1
m-of-k fixed m=5,20,5,28.7399,1.4370,0.4797,1,1d478b3dd653a6b1
m-of-k fixed m=5,21,5,28.5655,1.3603,0.4468,1,1d478b3dd653a6b1
m-of-k fixed m=5,22,5,28.4098,1.2914,0.4178,1,1d478b3dd653a6b1
m-of-k fixed m=5,23,5,28.2700,1.2291,0.3920,1,1d478b3dd653a6b1
m-of-k fixed m=5,24,5,28.1438,1.1727,0.3690,1,1d478b3dd653a6b1
m-of-k fixed m=5,25,5,28.0292,1.1212,0.3483,1,1d478b3dd653a6b1
m-of-k fixed m=5,26,5,27.9248,1.0740,0.3297,1,1d478b3dd653a6b1
m-of-k fixed m=5,27,5,27.8293,1.0307,0.3127,1,1d478b3dd653a6b1
m-of-k fixed m=5,28,5,27.7414,0.9908,0.2973,1,1d478b3dd653a6b1
m-of-k fixed m=5,29,5,27.6605,0.9538,0.2833,1,1d478b3dd653a6b1
m-of-k fixed m=5,30,5,27.5856,0.9195,0.2704,1,1d478b3dd653a6b1
m-of-k fixed m=5,31,5,27.5161,0.8876,0.2585,1,1d478b3dd653a6b1
m-of-k fixed m=5,32,5,27.4515,0.8579,0.2475,1,1d478b3dd653a6b1
m-of-k fixed m=5,33,5,27.3913,0.8300,0.2374,1,1d478b3dd653a6b1
m-of-k fixed m=5,34,5,27.3350,0.8040,0.2280,1,1d478b3dd653a6b1
m-of-k fixed m=5,35,5,27.2822,0.7795,0.2192,1,1d478b3dd653a6b1
m-of-k fixed m=5,36,5,27.2327,0.7565,0.2111,1,1d478b3dd653a6b1
m-of-k fixed m=5,37,5,27.1861,0.7348,0.2035,1,1d478b3dd653a6b1
